시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11500,3155044,0,벌말로,Beolmal-ro,서울특별시,강서구,2,0,,,,0,9,,,115003155044 
11500,3155044,1,벌말로,Beolmal-ro,서울특별시,강서구,1,11201,오곡동,,,0,9,,112,115003155044 
11440,4106328,0,임정로13길,Imjeong-ro 13-gil,서울특별시,마포구,2,0,,,,0,9,,,114404106328 
11440,4106328,1,임정로13길,Imjeong-ro 13-gil,서울특별시,마포구,1,10301,신공덕동,,,0,9,,103,114404106328 
11290,4121404,0,아리랑로13길,Arirang-ro 13-gil,서울특별시,성북구,2,0,,3107009,아리랑로,1,1,,,112904121404 
11290,4121404,1,아리랑로13길,Arirang-ro 13-gil,서울특별시,성북구,1,10301,돈암동,3107009,아리랑로,1,1,,103,112904121404 
11290,4121417,0,아리랑로5나길,Arirang-ro 5na-gil,서울특별시,성북구,2,0,,,,1,1,,,112904121417 
11290,4121417,1,아리랑로5나길,Arirang-ro 5na-gil,서울특별시,성북구,1,10301,돈암동,,,1,1,,103,112904121417 
11290,4121417,2,아리랑로5나길,Arirang-ro 5na-gil,서울특별시,성북구,1,13302,정릉동,,,1,1,,133,112904121417 
11290,4121424,0,아리랑로9길,Arirang-ro 9-gil,서울특별시,성북구,2,0,,3107009,아리랑로,1,1,,,112904121424 
11290,4121424,1,아리랑로9길,Arirang-ro 9-gil,서울특별시,성북구,1,10301,돈암동,3107009,아리랑로,1,1,,103,112904121424 
11545,4151343,2,시흥대로79길,Siheung-daero 79-gil,서울특별시,금천구,1,10202,독산동,,,0,,,102,115454151343 
11590,4160018,0,관악로30길,Gwanak-ro 30-gil,서울특별시,동작구,2,0,,,,0,,,,115904160018 
11590,4160018,1,관악로30길,Gwanak-ro 30-gil,서울특별시,동작구,1,10701,사당동,,,0,,,107,115904160018 
11710,4858205,1,위례송파로3길,Wiryesongpa-ro 3-gil,서울특별시,송파구,1,11301,거여동,,,0,,,113,117104858205 
11440,4139563,1,임정로13길,Imjeong-ro 13-gil,서울특별시,마포구,1,10301,신공덕동,3113032,임정로,1,1,,103,114404139563 
11440,4139563,0,임정로13길,Imjeong-ro 13-gil,서울특별시,마포구,2,0,,3113032,임정로,1,1,,,114404139563 
11350,4130146,1,덕릉로60타길,Deongneung-ro 60ta-gil,서울특별시,노원구,1,10201,월계동,3000004,덕릉로,1,1,,102,113504130146 
11350,4130146,0,덕릉로60타길,Deongneung-ro 60ta-gil,서울특별시,노원구,2,0,,3000004,덕릉로,1,1,,,113504130146 
11590,4157006,0,관악로30길,Gwanak-ro 30-gil,서울특별시,동작구,2,0,,,,1,1,,,115904157006 
11590,4157006,1,관악로30길,Gwanak-ro 30-gil,서울특별시,동작구,1,10701,사당동,,,1,1,,107,115904157006 
11650,3351306,0,강남순환로,Gangnamsunhwan-ro,서울특별시,서초구,2,0,,,,0,,,,116503351306 
11530,3000020,2,서해안로,Seohaean-ro,서울특별시,구로구,1,11202,항동,,,0,,,112,115303000020 
11260,4118591,1,신내역로3길,Sinnaeyeok-ro 3-gil,서울특별시,중랑구,1,10601,신내동,,,0,,,106,112604118591 
11530,3005066,0,신정로,Sinjeong-ro,서울특별시,구로구,2,0,,,,0,,,,115303005066 
11170,3005080,0,양녕로,Yangnyeong-ro,서울특별시,용산구,2,0,,,,0,,,,111703005080 
11170,3005080,1,양녕로,Yangnyeong-ro,서울특별시,용산구,1,12901,이촌동,,,0,,,129,111703005080 
11440,4139013,1,고산말1길,Gosanmal 1-gil,서울특별시,마포구,1,10801,대흥동,,,1,1,,108,114404139013 
11440,4139655,0,고산말3길,Gosanmal 3-gil,서울특별시,마포구,2,0,,,,1,1,,,114404139655 
11440,4139017,1,고산말5길,Gosanmal 5-gil,서울특별시,마포구,1,10801,대흥동,,,1,1,,108,114404139017 
11440,4139653,0,고산말2길,Gosanmal 2-gil,서울특별시,마포구,2,0,,,,1,1,,,114404139653 
11440,4139017,0,고산말5길,Gosanmal 5-gil,서울특별시,마포구,2,0,,,,1,1,,,114404139017 
11110,4103076,0,덕수궁길,Deoksugung-gil,서울특별시,종로구,2,0,,,,0,,,,111104103076 
11320,4124194,0,삼양로140길,Samyang-ro 140-gil,서울특별시,도봉구,2,0,,,,0,,,,113204124194 
11710,4169543,1,중대로2길,Jungdae-ro 2-gil,서울특별시,송파구,1,10701,가락동,,,0,,,107,117104169543 
11620,4160790,0,양지14길,Yangji 14-gil,서울특별시,관악구,2,0,,,,0,,,,116204160790 
11305,4124636,0,4.19로28길,4.19-ro 28-gil,서울특별시,강북구,2,0,,3005038,한천로,0,,,,113054124636 
11590,4859648,0,한강남자전거길,Hangangnamjajeongeo-gil,서울특별시,동작구,2,0,,,,0,,,,115904859648 
11350,4130457,0,한천로96길,Hancheon-ro 96-gil,서울특별시,노원구,2,0,,,,1,,,,113504130457 
11110,4100560,0,덕수궁길,Deoksugung-gil,서울특별시,종로구,2,0,,,,1,,,,111104100560 
11470,4142430,0,중앙로14길,Jungang-ro 14-gil,서울특별시,양천구,2,0,,,,1,,,,114704142430 
11170,4106596,0,녹사평대로58길,Noksapyeong-daero 58-gil,서울특별시,용산구,2,0,,,,1,,,,111704106596 
11530,3116014,0,부광로,Bugwang-ro,서울특별시,구로구,2,0,,,,1,,,,115303116014 
11320,4127328,0,마들로5길,Madeul-ro 5-gil,서울특별시,도봉구,2,0,,,,1,,,,113204127328 
11305,4124611,0,삼양로15길,Samyang-ro 15-gil,서울특별시,강북구,2,0,,,,1,,,,113054124611 
11320,4127329,0,삼양로140길,Samyang-ro 140-gil,서울특별시,도봉구,2,0,,,,1,,,,113204127329 
11320,4127330,0,우이천로2길,Uicheon-ro 2-gil,서울특별시,도봉구,2,0,,,,1,,,,113204127330 
11320,4130324,0,우이천로2길,Uicheon-ro 2-gil,서울특별시,도봉구,2,0,,,,0,,,,113204130324 
11305,4121276,0,삼양로15길,Samyang-ro 15-gil,서울특별시,강북구,2,0,,,,0,,,,113054121276 
11350,4121734,0,한천로96길,Hancheon-ro 96-gil,서울특별시,노원구,2,0,,,,0,,,,113504121734 
11305,4124621,1,4.19로8길,4.19-ro 8-gil,서울특별시,강북구,1,10301,수유동,3005038,한천로,0,,,103,113054124621 
11230,4115621,2,한천로37길,Hancheon-ro 37-gil,서울특별시,동대문구,1,10602,장안동,,,0,,,106,112304115621 
11170,4103407,0,녹사평대로58길,Noksapyeong-daero 58-gil,서울특별시,용산구,2,0,,,,0,,,,111704103407 
11320,4130264,0,마들로5길,Madeul-ro 5-gil,서울특별시,도봉구,2,0,,,,0,,,,113204130264 
11440,4139137,3,마포대로11길,Mapo-daero 11-gil,서울특별시,마포구,1,10103,아현동,,,0,,,101,114404139137 
11530,3185018,0,부광로,Bugwang-ro,서울특별시,구로구,2,0,,,,0,,,,115303185018 
11470,4148461,0,중앙로14길,Jungang-ro 14-gil,서울특별시,양천구,2,0,,,,0,,,,114704148461 
11440,3113004,5,대흥로,Daeheung-ro,서울특별시,마포구,1,10905,염리동,,,0,,,109,114403113004 
11500,3155057,1,마곡중앙12로,Magokjungang 12-ro,서울특별시,강서구,1,10501,마곡동,,,0,,,105,115003155057 
11560,3118022,11,영등포로,Yeongdeungpo-ro,서울특별시,영등포구,1,13411,양평동,,,0,,,134,115603118022 
11650,4859648,0,한강남자전거길,Hangangnamjajeongeo-gil,서울특별시,서초구,2,0,,,,0,,,,116504859648 
11650,4859650,0,양재천동자전거길,Yangjaecheondongjajeongeo-gil,서울특별시,서초구,2,0,,,,0,,,,116504859650 
11650,4859651,0,양재천서자전거길,Yangjaecheonseojajeongeo-gil,서울특별시,서초구,2,0,,,,0,,,,116504859651 
11650,4859330,0,반포천자전거길,Banpocheonjajeongeo-gil,서울특별시,서초구,2,0,,,,0,,,,116504859330 
11320,4859671,0,중랑천서자전거길,Jungnangcheonseojajeongeo-gil,서울특별시,도봉구,2,0,,,,0,,,,113204859671 
11410,4136399,1,통일로39다길,Tongil-ro 39da-gil,서울특별시,서대문구,1,11101,홍제동,3000008,통일로,0,,,111,114104136399 
11740,4858126,0,가래여울길,Garaeyeoul-gil,서울특별시,강동구,2,0,,,,0,,,,117404858126 
11710,3000237,0,위례서로,Wiryeseo-ro,서울특별시,송파구,2,0,,,,0,,,,117103000237 
